Traces,LRU,ship,shippp_base,shippp_maxRRPV_2,shippp_maxRRPV_4,shippp_maxRRPV_5,shippp_maxRRPV_6,shippp_maxRRPV_7,shippp_maxRRPV_8,shippp_maxRRPV_9,shippp_maxRRPV_10,shippp_maxRRPV_11,shippp_maxRRPV_12,shippp_maxRRPV_13,shippp_maxRRPV_14,shippp_maxRRPV_15,
GemsFDTD_109B, 29.5603, 29.4737, 35.9876, 35.7595, 36.6353, 37.1643, 37.3389, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569, 35.9569,
GemsFDTD_712B, 30.8693, 31.0156, 39.9325, 39.8982, 39.9757, 39.9843, 40.0171, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533, 39.9533,
GemsFDTD_716B, 14.2988, 14.258, 14.1951, 14.1918, 14.2173, 14.2495, 14.2481, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086, 14.2086,
astar_163B, 1.04899, 1.00637, 2.04372, 2.07178, 2.08834, 2.09092, 2.09138, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899, 2.06899,
astar_23B, 2.34687, 2.47195, 2.74636, 2.69985, 2.89472, 2.98432, 3.0514, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831, 2.79831,
astar_313B, 40.2296, 41.6347, 42.8221, 43.3315, 42.6588, 42.2991, 42.8186, 42.685, 42.685, 42.685, 42.685, 42.685, 42.685, 42.685, 42.685, 42.685,
bwaves_1609B, 22.7676, 22.7674, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795,
bwaves_1861B, 23.1781, 23.1784, 23.8039, 23.7671, 23.8158, 23.8159, 23.8162, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039,
bwaves_98B, 0.44515, 0.44537, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006,
bzip2_183B, 1.50236, 1.48723, 1.46662, 1.45381, 1.47544, 1.49236, 1.56329, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971, 1.45971,
bzip2_259B, 3.02356, 2.74037, 2.85094, 2.91862, 2.84648, 2.88441, 2.9159, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489, 2.8489,
bzip2_281B, 2.38, 2.28488, 2.2452, 2.15587, 2.27893, 2.40626, 2.38395, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756, 2.2756,
cactusADM_1039B, 8.95289, 8.95423, 8.22831, 8.24956, 8.23124, 8.23544, 8.23948, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058, 8.24058,
cactusADM_1495B, 8.57671, 8.57878, 7.88297, 7.88133, 7.88339, 7.87603, 7.88774, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791, 7.8791,
cactusADM_734B, 8.93522, 8.9418, 8.17769, 8.28114, 8.24096, 8.23019, 8.22979, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451, 8.25451,
calculix_2655B, 1.13043, 1.11835, 1.4054, 1.43141, 1.40211, 1.45946, 1.46211, 1.41167, 1.41167, 1.41167, 1.41167, 1.41167, 1.41167, 1.41167, 1.41167, 1.41167,
calculix_2670B, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189,
calculix_3812B, 0.83019, 0.74979, 1.15278, 0.80524, 1.19597, 1.21624, 1.21423, 1.19606, 1.19606, 1.19606, 1.19606, 1.19606, 1.19606, 1.19606, 1.19606, 1.19606,
gamess_196B, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107,
gamess_247B, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337,
gamess_316B, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052,
gcc_13B, 14.5893, 14.6205, 16.5722, 16.5823, 16.5807, 16.6646, 16.6054, 16.7113, 16.7113, 16.7113, 16.7113, 16.7113, 16.7113, 16.7113, 16.7113, 16.7113,
gcc_39B, 0.24572, 0.24577, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573, 0.24573,
gcc_56B, 0.54689, 0.54392, 0.57387, 0.5739, 0.57388, 0.57388, 0.57388, 0.57388, 0.57388, 0.57388, 0.57388, 0.57388, 0.57388, 0.57388, 0.57388, 0.57388,
gobmk_135B, 0.274, 0.27159, 0.28479, 0.28512, 0.28498, 0.28499, 0.28501, 0.2848, 0.2848, 0.2848, 0.2848, 0.2848, 0.2848, 0.2848, 0.2848, 0.2848,
gobmk_60B, 0.26712, 0.26826, 0.27767, 0.27768, 0.27767, 0.27767, 0.27767, 0.27767, 0.27767, 0.27767, 0.27767, 0.27767, 0.27767, 0.27767, 0.27767, 0.27767,
gobmk_76B, 0.23215, 0.22875, 0.23444, 0.23528, 0.23479, 0.23483, 0.23486, 0.23464, 0.23464, 0.23464, 0.23464, 0.23464, 0.23464, 0.23464, 0.23464, 0.23464,
gromacs_0B, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212,
gromacs_1B, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009,
h264ref_178B, 0.76607, 0.745, 0.72132, 0.74716, 0.71446, 0.71522, 0.71512, 0.72345, 0.72345, 0.72345, 0.72345, 0.72345, 0.72345, 0.72345, 0.72345, 0.72345,
h264ref_273B, 0.79852, 0.75638, 0.7113, 0.74103, 0.70248, 0.69015, 0.69136, 0.71159, 0.71159, 0.71159, 0.71159, 0.71159, 0.71159, 0.71159, 0.71159, 0.71159,
h264ref_351B, 0.88766, 0.87988, 0.84195, 0.85582, 0.83565, 0.82459, 0.82552, 0.8499, 0.8499, 0.8499, 0.8499, 0.8499, 0.8499, 0.8499, 0.8499, 0.8499,
hmmer_397B, 1.54841, 1.55335, 2.8627, 2.27249, 2.84781, 3.03489, 3.10259, 2.79967, 2.79967, 2.79967, 2.79967, 2.79967, 2.79967, 2.79967, 2.79967, 2.79967,
hmmer_546B, 0.14692, 0.14678, 0.14707, 0.14709, 0.14707, 0.14707, 0.14707, 0.14707, 0.14707, 0.14707, 0.14707, 0.14707, 0.14707, 0.14707, 0.14707, 0.14707,
hmmer_7B, 1.096, 1.0774, 1.44577, 1.44678, 1.46544, 1.46548, 1.46533, 1.46632, 1.46632, 1.46632, 1.46632, 1.46632, 1.46632, 1.46632, 1.46632, 1.46632,
lbm_1004B, 32.253, 32.313, 44.603, 43.191, 45.273, 45.5443, 46.6404, 44.1742, 44.1742, 44.1742, 44.1742, 44.1742, 44.1742, 44.1742, 44.1742, 44.1742,
lbm_564B, 33.74, 33.8364, 46.2595, 45.1058, 47.0699, 48.3158, 49.1747, 45.7011, 45.7011, 45.7011, 45.7011, 45.7011, 45.7011, 45.7011, 45.7011, 45.7011,
lbm_94B, 30.5374, 30.6043, 42.5176, 40.0173, 42.8276, 44.7449, 44.5195, 41.2531, 41.2531, 41.2531, 41.2531, 41.2531, 41.2531, 41.2531, 41.2531, 41.2531,
leslie3d_1116B, 25.7597, 24.621, 27.8804, 27.413, 28.6252, 28.92, 31.215, 27.696, 27.696, 27.696, 27.696, 27.696, 27.696, 27.696, 27.696, 27.696,
leslie3d_1186B, 21.1454, 20.2981, 23.769, 23.5734, 24.7819, 24.8226, 24.7629, 24.6259, 24.6259, 24.6259, 24.6259, 24.6259, 24.6259, 24.6259, 24.6259, 24.6259,
leslie3d_94B, 26.0669, 26.0354, 33.3126, 33.0488, 34.0097, 34.5106, 34.5484, 33.2981, 33.2981, 33.2981, 33.2981, 33.2981, 33.2981, 33.2981, 33.2981, 33.2981,
libquantum_1210B, 30.0682, 30.0682, 38.395, 38.4049, 38.3967, 38.3961, 38.3961, 38.4002, 38.4002, 38.4002, 38.4002, 38.4002, 38.4002, 38.4002, 38.4002, 38.4002,
libquantum_1735B, 27.8944, 27.8944, 36.4794, 35.6169, 36.3894, 36.3112, 36.2273, 36.3867, 36.3867, 36.3867, 36.3867, 36.3867, 36.3867, 36.3867, 36.3867, 36.3867,
libquantum_964B, 33.9044, 33.9047, 46.3428, 46.5091, 46.1834, 46.4943, 46.438, 46.321, 46.321, 46.321, 46.321, 46.321, 46.321, 46.321, 46.321, 46.321,
mcf_158B, 76.099, 72.1072, 62.8798, 62.9746, 62.8048, 62.9806, 63.1435, 63.2116, 63.2116, 63.2116, 63.2116, 63.2116, 63.2116, 63.2116, 63.2116, 63.2116,
mcf_250B, 89.1631, 80.0199, 68.629, 68.6868, 68.7222, 69.0799, 69.5058, 68.7015, 68.7015, 68.7015, 68.7015, 68.7015, 68.7015, 68.7015, 68.7015, 68.7015,
mcf_46B, 70.3854, 67.7448, 61.3205, 62.6041, 60.5838, 60.6823, 61.7373, 61.098, 61.098, 61.098, 61.098, 61.098, 61.098, 61.098, 61.098, 61.098,
milc_360B, 20.9585, 21.0882, 27.7348, 27.7604, 27.7233, 27.7478, 27.7109, 27.7348, 27.7348, 27.7348, 27.7348, 27.7348, 27.7348, 27.7348, 27.7348, 27.7348,
milc_409B, 18.1755, 18.3126, 26.0917, 25.9961, 26.0236, 26.0865, 26.0908, 26.0917, 26.0917, 26.0917, 26.0917, 26.0917, 26.0917, 26.0917, 26.0917, 26.0917,
milc_744B, 17.4449, 17.4885, 23.775, 23.7747, 23.7838, 23.7732, 23.7732, 23.775, 23.775, 23.775, 23.775, 23.775, 23.775, 23.775, 23.775, 23.775,
namd_1907B, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411,
namd_400B, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487,
namd_851B, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364,
omnetpp_17B, 10.3038, 5.38986, 2.78497, 2.81168, 2.77688, 2.77884, 2.76248, 2.77609, 2.77609, 2.77609, 2.77609, 2.77609, 2.77609, 2.77609, 2.77609, 2.77609,
omnetpp_340B, 17.0106, 17.2048, 19.7728, 19.3529, 20.4312, 20.8004, 21.073, 19.9254, 19.9254, 19.9254, 19.9254, 19.9254, 19.9254, 19.9254, 19.9254, 19.9254,
omnetpp_4B, 6.74132, 3.52066, 2.6724, 2.88256, 2.60274, 2.57391, 2.58233, 2.66732, 2.66732, 2.66732, 2.66732, 2.66732, 2.66732, 2.66732, 2.66732, 2.66732,
perlbench_105B, 0.19883, 0.19885, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883,
perlbench_135B, 0.2498, 0.26595, 0.25793, 0.25095, 0.26242, 0.26619, 0.26723, 0.25828, 0.25828, 0.25828, 0.25828, 0.25828, 0.25828, 0.25828, 0.25828, 0.25828,
perlbench_53B, 0.19001, 0.19422, 0.19289, 0.19074, 0.19478, 0.19572, 0.19617, 0.19245, 0.19245, 0.19245, 0.19245, 0.19245, 0.19245, 0.19245, 0.19245, 0.19245,
povray_250B, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424,
povray_437B, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727,
povray_711B, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694,
sjeng_1109B, 0.36747, 0.37084, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371, 0.40371,
sjeng_1966B, 0.39669, 0.39892, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146, 0.44146,
sjeng_358B, 0.36192, 0.36243, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939, 0.3939,
soplex_205B, 34.1025, 33.0063, 33.49, 32.8274, 33.5585, 35.1274, 35.6634, 32.9833, 32.9833, 32.9833, 32.9833, 32.9833, 32.9833, 32.9833, 32.9833, 32.9833,
soplex_217B, 34.108, 32.7634, 31.4217, 30.6503, 32.1606, 33.0165, 32.7412, 31.4518, 31.4518, 31.4518, 31.4518, 31.4518, 31.4518, 31.4518, 31.4518, 31.4518,
soplex_66B, 27.573, 25.4968, 25.2343, 24.774, 25.7061, 26.2437, 26.1678, 25.4139, 25.4139, 25.4139, 25.4139, 25.4139, 25.4139, 25.4139, 25.4139, 25.4139,
sphinx3_1339B, 10.9775, 9.89978, 4.76919, 5.07672, 5.02843, 5.03388, 5.0611, 4.65921, 4.65921, 4.65921, 4.65921, 4.65921, 4.65921, 4.65921, 4.65921, 4.65921,
sphinx3_2520B, 8.23917, 7.79928, 3.36245, 3.22924, 3.61018, 3.65055, 3.68367, 3.60668, 3.60668, 3.60668, 3.60668, 3.60668, 3.60668, 3.60668, 3.60668, 3.60668,
sphinx3_883B, 12.7567, 12.0154, 7.14934, 7.94902, 7.2934, 7.20042, 7.19088, 7.46616, 7.46616, 7.46616, 7.46616, 7.46616, 7.46616, 7.46616, 7.46616, 7.46616,
tonto_2049B, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855, 0.11855,
tonto_2834B, 0.2061, 0.2061, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584,
tonto_422B, 2.76187, 2.29941, 2.27271, 2.25692, 2.32801, 2.32939, 2.34558, 2.33928, 2.33928, 2.33928, 2.33928, 2.33928, 2.33928, 2.33928, 2.33928, 2.33928,
wrf_1212B, 0.78051, 0.78017, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491, 0.97491,
wrf_1228B, 10.1802, 9.95491, 10.4243, 10.0055, 10.4572, 10.3043, 10.4018, 10.3625, 10.3625, 10.3625, 10.3625, 10.3625, 10.3625, 10.3625, 10.3625, 10.3625,
wrf_1650B, 7.84971, 7.85353, 9.00594, 8.9233, 9.04088, 9.03215, 9.03365, 8.97805, 8.97805, 8.97805, 8.97805, 8.97805, 8.97805, 8.97805, 8.97805, 8.97805,
xalancbmk_748B, 2.7187, 2.74432, 4.04726, 3.95825, 4.09802, 4.1595, 4.14434, 4.05074, 4.05074, 4.05074, 4.05074, 4.05074, 4.05074, 4.05074, 4.05074, 4.05074,
xalancbmk_768B, 0.27531, 0.27743, 0.30447, 0.30206, 0.30446, 0.30446, 0.30446, 0.30447, 0.30447, 0.30447, 0.30447, 0.30447, 0.30447, 0.30447, 0.30447, 0.30447,
xalancbmk_99B, 29.4543, 28.8014, 21.5853, 24.5433, 21.3993, 23.4591, 21.4751, 21.7825, 21.7825, 21.7825, 21.7825, 21.7825, 21.7825, 21.7825, 21.7825, 21.7825,
zeusmp_100B, 4.9905, 5.06636, 6.84821, 6.84521, 6.84825, 6.84889, 6.84889, 6.84821, 6.84821, 6.84821, 6.84821, 6.84821, 6.84821, 6.84821, 6.84821, 6.84821,
zeusmp_300B, 2.65241, 2.68278, 3.37844, 3.37108, 3.39766, 3.40813, 3.40566, 3.38244, 3.38244, 3.38244, 3.38244, 3.38244, 3.38244, 3.38244, 3.38244, 3.38244,
zeusmp_600B, 3.15904, 3.15866, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339, 3.68339,